month,day,year,temp,season,tempc
12,20,1995,23.7,Winter,-4.61111111111
12,21,1995,24.8,Winter,-4.0
12,22,1995,32.3,Winter,0.166666666667
12,23,1995,33.7,Winter,0.944444444444
12,24,1995,33.5,Winter,0.833333333333
12,25,1995,32.2,Winter,0.111111111111
12,26,1995,31.7,Winter,-0.166666666667
12,27,1995,28.1,Winter,-2.16666666667
12,28,1995,31.9,Winter,-0.0555555555556
12,29,1995,32.9,Winter,0.5
12,30,1995,35.8,Winter,2.11111111111
12,31,1995,39.0,Winter,3.88888888889
1,1,1996,38.6,Winter,3.66666666667
1,2,1996,35.9,Winter,2.16666666667
1,3,1996,28.8,Winter,-1.77777777778
1,4,1996,20.8,Winter,-6.22222222222
1,5,1996,23.1,Winter,-4.94444444444
1,6,1996,14.1,Winter,-9.94444444444
1,7,1996,16.6,Winter,-8.55555555556
1,8,1996,21.4,Winter,-5.88888888889
1,9,1996,24.2,Winter,-4.33333333333
1,10,1996,27.1,Winter,-2.72222222222
1,11,1996,24.1,Winter,-4.38888888889
1,12,1996,28.1,Winter,-2.16666666667
1,13,1996,34.3,Winter,1.27777777778
1,14,1996,36.7,Winter,2.61111111111
1,15,1996,38.7,Winter,3.72222222222
1,16,1996,24.4,Winter,-4.22222222222
1,17,1996,38.3,Winter,3.5
1,18,1996,36.3,Winter,2.38888888889
1,19,1996,51.0,Winter,10.5555555556
1,20,1996,29.8,Winter,-1.22222222222
1,21,1996,29.9,Winter,-1.16666666667
1,22,1996,34.6,Winter,1.44444444444
1,23,1996,38.7,Winter,3.72222222222
1,24,1996,44.9,Winter,7.16666666667
1,25,1996,36.0,Winter,2.22222222222
1,26,1996,31.5,Winter,-0.277777777778
1,27,1996,48.6,Winter,9.22222222222
1,28,1996,34.6,Winter,1.44444444444
1,29,1996,32.2,Winter,0.111111111111
1,30,1996,39.6,Winter,4.22222222222
1,31,1996,31.5,Winter,-0.277777777778
2,1,1996,21.7,Winter,-5.72222222222
2,2,1996,27.6,Winter,-2.44444444444
2,3,1996,19.2,Winter,-7.11111111111
2,4,1996,14.6,Winter,-9.66666666667
2,5,1996,13.8,Winter,-10.1111111111
2,6,1996,20.2,Winter,-6.55555555556
2,7,1996,28.0,Winter,-2.22222222222
2,8,1996,35.9,Winter,2.16666666667
2,9,1996,42.6,Winter,5.88888888889
2,10,1996,42.3,Winter,5.72222222222
2,11,1996,44.7,Winter,7.05555555556
2,12,1996,31.9,Winter,-0.0555555555556
2,13,1996,18.3,Winter,-7.61111111111
2,14,1996,32.3,Winter,0.166666666667
2,15,1996,32.4,Winter,0.222222222222
2,16,1996,28.4,Winter,-2.0
2,17,1996,26.8,Winter,-2.88888888889
2,18,1996,29.7,Winter,-1.27777777778
2,19,1996,28.9,Winter,-1.72222222222
2,20,1996,43.8,Winter,6.55555555556
2,21,1996,48.7,Winter,9.27777777778
2,22,1996,47.0,Winter,8.33333333333
2,23,1996,47.1,Winter,8.38888888889
2,24,1996,49.0,Winter,9.44444444444
2,25,1996,53.5,Winter,11.9444444444
2,26,1996,52.7,Winter,11.5
2,27,1996,47.2,Winter,8.44444444444
2,28,1996,48.9,Winter,9.38888888889
2,29,1996,33.1,Winter,0.611111111111
3,1,1996,29.2,Winter,-1.55555555556
3,2,1996,33.0,Winter,0.555555555556
3,3,1996,33.0,Winter,0.555555555556
3,4,1996,26.4,Winter,-3.11111111111
3,5,1996,43.2,Winter,6.22222222222
3,6,1996,43.4,Winter,6.33333333333
3,7,1996,33.7,Winter,0.944444444444
3,8,1996,24.6,Winter,-4.11111111111
3,9,1996,19.7,Winter,-6.83333333333
3,10,1996,25.2,Winter,-3.77777777778
3,11,1996,32.0,Winter,0.0
3,12,1996,39.9,Winter,4.38888888889
3,13,1996,46.1,Winter,7.83333333333
3,14,1996,51.8,Winter,11.0
3,15,1996,51.6,Winter,10.8888888889
3,16,1996,43.0,Winter,6.11111111111
3,17,1996,41.1,Winter,5.05555555556
3,18,1996,47.5,Winter,8.61111111111
3,19,1996,42.5,Winter,5.83333333333
3,20,1996,44.3,Spring,6.83333333333
3,21,1996,42.9,Spring,6.05555555556
3,22,1996,39.8,Spring,4.33333333333
3,23,1996,37.4,Spring,3.0
3,24,1996,41.6,Spring,5.33333333333
3,25,1996,48.9,Spring,9.38888888889
3,26,1996,53.4,Spring,11.8888888889
3,27,1996,38.8,Spring,3.77777777778
3,28,1996,36.5,Spring,2.5
3,29,1996,35.7,Spring,2.05555555556
3,30,1996,45.1,Spring,7.27777777778
3,31,1996,47.1,Spring,8.38888888889
4,1,1996,46.9,Spring,8.27777777778
4,2,1996,46.9,Spring,8.27777777778
4,3,1996,46.5,Spring,8.05555555556
4,4,1996,47.9,Spring,8.83333333333
4,5,1996,44.2,Spring,6.77777777778
4,6,1996,47.3,Spring,8.5
4,7,1996,41.0,Spring,5.0
4,8,1996,39.2,Spring,4.0
4,9,1996,38.2,Spring,3.44444444444
4,10,1996,40.1,Spring,4.5
4,11,1996,50.2,Spring,10.1111111111
4,12,1996,64.2,Spring,17.8888888889
4,13,1996,51.9,Spring,11.0555555556
4,14,1996,46.1,Spring,7.83333333333
4,15,1996,45.4,Spring,7.44444444444
4,16,1996,49.5,Spring,9.72222222222
4,17,1996,46.4,Spring,8.0
4,18,1996,53.6,Spring,12.0
4,19,1996,57.1,Spring,13.9444444444
4,20,1996,57.8,Spring,14.3333333333
4,21,1996,65.4,Spring,18.5555555556
4,22,1996,64.1,Spring,17.8333333333
4,23,1996,64.2,Spring,17.8888888889
4,24,1996,56.3,Spring,13.5
4,25,1996,61.8,Spring,16.5555555556
4,26,1996,59.1,Spring,15.0555555556
4,27,1996,56.9,Spring,13.8333333333
4,28,1996,57.9,Spring,14.3888888889
4,29,1996,57.4,Spring,14.1111111111
4,30,1996,53.6,Spring,12.0
